id,form,edit form,hyperlink,dict,количество компонентов в смысловой части,позиция компонентов смысловой части,позиция коннектора в составе клаузы,phonvar,pos,type of pos,meaning,Non-connector,Стилистич. ограничения,Example,other_senses,other_pos,semfield1,subfield1,semfield2,subfield2,semfield1_ed,subfield1_ed,semfield2_ed,subfield2_ed,sem_comment,inside_info,Основная часть,Коррелят,Обязательность коррелята,Обязательность компонентов,Комментарий,Разработчик,,
204,же,,,МАС,однокомпонентный,NA,неконечная,NA,союз,,противительный,NA,,"Почему ты не принес книгу? Я тебя просил же! (ШЩ); Как, ты не принес книгу?! Я же тебя просил! [Сконструированный пример]; Ты опять не принес книгу! Я же тебя просил! [Сконструированный пример]",NA,частица усилительная,адверсатив,противительное,NA,NA,причина,обоснование,NA,NA,"Иллокутивное употребление: ""Я требую ответа на вопрос или удивляюсь, что ты не выполнил Р, так как Q"".",NA,же,NA,NA,,,Диана,,
205,же,,,Уш,однокомпонентный,NA,неконечная,NA,союз,,противительный,NA,,"Старики сидят дома, дети же ушли гулять. [Уш] NOTFOUND; Брату шесть лет, сестре же - восемь. (Морк); Я послал им телеграмму, большего же сделать не мог. (Морк); Он предложил гостю кресло, сам же уселся на диване; На эти деньги невеста покупала себе наряды, подарки, тесть же готовил свадебное торжество. [Свадьба тюменских старожилов // «Народное творчество», 2004]; Когда мы вышли из дому&#10;(вышли же мы довольно рано), стояла уже изрядная жара (БТС); Холода наступили быстро. Снег же выпал нескоро. (Сконструированный пример); Не пойдёт он туда. Ты же знаешь этого человека. (ШЩ); Товарищи относились к нему неприязненно, солдаты же любили воистину. (МАС); Вид у него суровый, сердце же доброе. (Морк)",NA,частица,адверсатив,противительное,NA,NA,конъюнкция,сопоставление,NA,NA,"В литературе зачастую трактуется как противительное значение [МАС, Уш, Морк, БТС, Ефр; Падучева 2018: 334]; в примерах, однако, отсутствует компонент неожиданности ситуации, вводимой ассоциированной клаузой.",NA,же,NA,NA,,,Диана,,
206,же,,,МАС,однокомпонентный,NA,неконечная,ж,союз,,присоединительный,NA,,"Когда мы вышли из дому (вышли же мы довольно рано), стояла уже изрядная жара. [БТС]; NOTFOUND; Я послал им телеграмму, большего же сделать не мог. [Морк] NOTFOUND; Подполковник Ларри остался при Миллере, Миллер же удерживался в Архангельске только благодаря общей обстановке того времени. (МАС); С тех пор, как я его знаю, знаю же я его с детства, я не переставал 
дружить с ним. (Уш); ",NA,частица усилительная,конъюнкция,присоединительное,NA,NA,конъюнкция,присоединение,NA,NA,NA,NA,же,NA,NA,,,Диана,,
207,же,,,Уш,однокомпонентный,NA,неконечная,NA,союз,,присоединительный,NA,,"Когда мы вышли из дому (вышли же мы довольно рано), стояла уже изрядная жара. [БТС]; NOTFOUND; Я послал им телеграмму, большего же сделать не мог. [Морк] NOTFOUND; Подполковник Ларри остался при Миллере, Миллер же удерживался в Архангельске только благодаря общей обстановке того времени. (МАС); С тех пор, как я его знаю, знаю же я его с детства, я не переставал 
дружить с ним. (Уш); ",NA,частица,конъюнкция,присоединительное,NA,NA,конъюнкция,присоединение,NA,NA,NA,NA,же,NA,NA,,,Диана,,
208,же,,,Морк,однокомпонентный,NA,неконечная,NA,союз,,сопоставительный,NA,,"Старики сидят дома, дети же ушли гулять. [Уш] NOTFOUND",NA,частица,конъюнкция,сопоставительное,NA,NA,конъюнкция,сопоставление,NA,NA,NA,NA,же,NA,NA,,,Диана,,
209,же,,,Морк,однокомпонентный,NA,неконечная,NA,союз,,противительный,NA,,"Почему ты не принес книгу? Я тебя просил же! (ШЩ); Как, ты не принес книгу?! Я же тебя просил! [Сконструированный пример]; Ты опять не принес книгу! Я же тебя просил! [Сконструированный пример]",NA,частица,адверсатив,противительное,NA,NA,причина,обоснование,NA,NA,"Иллокутивное употребление: ""Я требую ответа на вопрос или удивляюсь, что ты не выполнил Р, так как Q"".",NA,же,NA,NA,,,Диана,,
210,же,,,Морк,однокомпонентный,NA,неконечная,NA,союз,,"присоединительный: для присоединения части предложения, в которой говорится о фактах, занимающих следующее место в последовательности описания",NA,,"Когда мы вышли из дому (вышли же мы довольно рано), стояла уже изрядная жара. [БТС]; NOTFOUND",NA,частица,конъюнкция,присоединительное,NA,NA,конъюнкция,присоединение,NA,NA,NA,NA,же,NA,NA,,,Диана,,
211,же,,,Морк,однокомпонентный,NA,неконечная,NA,союз,,"присоединительный: для присоединения части предложения, поясняющей высказанную мысль",NA,,"Я послал им телеграмму, большего же сделать не мог. [Морк] NOTFOUND; Подполковник Ларри остался при Миллере, Миллер же удерживался в Архангельске только благодаря общей обстановке того времени. (МАС); С тех пор, как я его знаю, знаю же я его с детства, я не переставал 
дружить с ним. (Уш); ",NA,частица,мереология,аддитивность,NA,NA,конъюнкция,присоединение,NA,NA,NA,NA,же,NA,NA,,,Диана,,
,же,,,БТС,однокомпонентный,NA,срединная,ж,союз,,"присоединяет одно предложение, содержащее какие-л. дополнительные сведения, к другому",повтор,,"Когда мы вышли из дому (вышли же мы довольно рано), стояла уже изрядная жара. [БТС]; NOTFOUND; Я послал им телеграмму, большего же сделать не мог. [Морк] NOTFOUND; Подполковник Ларри остался при Миллере, Миллер же удерживался в Архангельске только благодаря общей обстановке того времени. (МАС); С тех пор, как я его знаю, знаю же я его с детства, я не переставал 
дружить с ним. (Уш); ","1. смысловое выделение, подчеркивание значения слова, после которого ставятся 2. подчёркивание полного совпадения с тем, о чём ведётся повествование, или подчёркивание постоянства, неизменности чего-л.",частица,конъюнкция,присоединение,NA,NA,конъюнкция,присоединение,NA,NA,"В [отрывке из Повести временных лет] функцию присоединения к левому контексту очередной предикатной единицы выполняют <…> синтаксические частицы (бо 3 раза, же 1 раз) <…> [Преображенская 1991: 21]",,же,NA,NA,NA,,Настя,,
,же,,,БТС,однокомпонентный,NA,срединная,ж,союз,,противопоставление одного предложения другому,NA,,"Михаил предложил гостю кресло, сам же он уселся на диване. [Сконструированный пример]","1. смысловое выделение, подчеркивание значения слова, после которого ставятся 2. подчёркивание полного совпадения с тем, о чём ведётся повествование, или подчёркивание постоянства, неизменности чего-л.",частица,адверсативность,противительность,конъюнкция,сопоставление,конъюнкция,сопоставление,NA,NA,,,же,NA,NA,NA,,Настя,,
,же,,,АГ-80,однокомпонентный,NA,срединная,ж,союз,,NA,NA,,"Когда мы вышли из дому (вышли же мы довольно рано), стояла уже изрядная жара. [БТС] NOTFOUND",NA,частица; частица-союз,конъюнкция,сопоставление,NA,NA,конъюнкция,сопоставление,NA,NA,,,же,NA,NA,NA,,Настя,,
,же,,,АГ-80,однокомпонентный,NA,срединная,ж,частица-союз,,NA,NA,,"Когда мы вышли из дому (вышли же мы довольно рано), стояла уже изрядная жара. [БТС]; NOTFOUND; Я послал им телеграмму, большего же сделать не мог. [Морк] NOTFOUND; Подполковник Ларри остался при Миллере, Миллер же удерживался в Архангельске только благодаря общей обстановке того времени. (МАС); С тех пор, как я его знаю, знаю же я его с детства, я не переставал 
дружить с ним. (Уш); ",NA,частица; союз,конъюнкция,сопоставление,NA,NA,конъюнкция,присоединение,NA,NA,,,же,NA,NA,NA,,Настя,,
,же,,,ЕФР,однокомпонентный,NA,срединная,ж (возможен ли в этом случае?),союз,,противопоставление предложений: а,NA,,"Михаил предложил гостю кресло, сам же он уселся на диване. [Сконструированный пример]","1. выделение или подчеркивание значения слова, после которого стоит",частица,адверсативность,противительность,NA,NA,конъюнкция,сопоставление,NA,NA,,,же,NA,NA,NA,,Настя,,
,же,,,ЕФР,однокомпонентный,NA,срединная,ж,союз,,"присоединение вставного — в том числе и вводного — предложения, уточняющего, развивающего или дополняющего ранее высказанную мысль",NA,,"Когда мы вышли из дому (вышли же мы довольно рано), стояла уже изрядная жара. [БТС]; NOTFOUND; Я послал им телеграмму, большего же сделать не мог. [Морк] NOTFOUND; Подполковник Ларри остался при Миллере, Миллер же удерживался в Архангельске только благодаря общей обстановке того времени. (МАС); С тех пор, как я его знаю, знаю же я его с детства, я не переставал 
дружить с ним. (Уш); ","1. выделение или подчеркивание значения слова, после которого стоит",частица,мереология,конкретизация,NA,NA,конъюнкция,присоединение,NA,NA,,,же,NA,NA,NA,,Настя,,
,же,,,БТС,однокомпонентный,NA,срединная,ж,союз,,"присоединяет одно предложение, содержащее какие-л. дополнительные сведения, к другому",NA,,"Когда мы вышли из дому (вышли же мы довольно рано), стояла уже изрядная жара. [БТС]; NOTFOUND; Я послал им телеграмму, большего же сделать не мог. [Морк] NOTFOUND; Подполковник Ларри остался при Миллере, Миллер же удерживался в Архангельске только благодаря общей обстановке того времени. (МАС); С тех пор, как я его знаю, знаю же я его с детства, я не переставал 
дружить с ним. (Уш); ","1. смысловое выделение, подчеркивание значения слова, после которого ставятся 2. подчёркивание полного совпадения с тем, о чём ведётся повествование, или подчёркивание постоянства, неизменности чего-л.",частица,конъюнкция,присоединение,NA,NA,конъюнкция,присоединение,NA,NA,,,же,NA,NA,,,Настя,,
,же,,,АГ-80,однокомпонентный,NA,неначальная,NA,союз,,сопоставительные отношения,NA,,"Михаил предложил гостю кресло, сам же он уселся на диване. [Сконструированный пример]","1. смысловое выделение, подчеркивание значения слова, после которого ставятся 2. подчёркивание полного совпадения с тем, о чём ведётся повествование, или подчёркивание постоянства, неизменности чего-л.",,,,,,конъюнкция,сопоставление; противопоставление,NA,NA,,,же,NA,NA,,,ИМК,,
,же,,,АГ-80,однокомпонентный,NA,неначальная,NA,союз,,причинно-аргументирующее,NA,,"Володя рад моему возвращению, он же после меня в отпуск поедет. [Сконструированный пример]","1. смысловое выделение, подчеркивание значения слова, после которого ставятся 2. подчёркивание полного совпадения с тем, о чём ведётся повествование, или подчёркивание постоянства, неизменности чего-л.",,,,,,причина,обоснование,NA,NA,Инферентивное употребление: 'причина суждения в первой клаузе эксплицируется во второй клаузе'.,,,,,,,,,
,же,,,ШЩ,однокомпонентный,NA,неначальная,ж,частица; союз,выделительная ,"сопоставление или противопоставление ситуаций, связанных с выделенной синтаксической группой",NA,,Холода наступили быстро. Снег же выпал нескоро. [Сконструированный пример],"напоминание о чем-то известном; необходимость получения доп. информации; несогласие с адресатом; сомнение в возм. того, что утверждает адресат; эмоц. реакция по поводу утверждаемого, противореч.ожиданиям говорящего; сильная уверенность; ближайший момент как единственно реальный или возможный",NA,адверсативность,противительное,NA,NA,конъюнкция,сопоставление,NA,NA,,,же,NA,NA,,,Катя,,
378,же,,,ШЩ,однокомпонентный,NA,неначальная,ж,частица,модальная ,известная или очевидная причина; обусловленность просьбы или требования известными или очевидными обстоятельствами,NA,,"Почему ты не принес книгу? Я тебя просил же! (ШЩ); Как, ты не принес книгу?! Я же тебя просил! [Сконструированный пример]; Ты опять не принес книгу! Я же тебя просил! [Сконструированный пример]","напоминание о чем-то известном; необходимость получения доп. информации; несогласие с адресатом; сомнение в возм. того, что утверждает адресат; эмоц. реакция по поводу утверждаемого, противореч.ожиданиям говорящего; сильная уверенность; ближайший момент как единственно реальный или возможный",NA,адверсативность,уступка,NA,NA,причина,обоснование,NA,NA,"Иллокутивное употребление: ""Я требую ответа на вопрос или удивляюсь, что ты не выполнил Р, так как Q"".",,же,NA,NA,,,Катя,,
,же,,,ШЩ,однокомпонентный,NA,неначальная,ж,частица,модальная,тождество или близость соотносимых предметов (при малой вероятности такого соответствия),да,,Брат уехал в деревню. Здесь же живут его дети. [ШЩ] NOTFOUND,"напоминание о чем-то известном; необходимость получения доп. информации; несогласие с адресатом; сомнение в возм. того, что утверждает адресат; эмоц. реакция по поводу утверждаемого, противореч.ожиданиям говорящего; сильная уверенность; ближайший момент как единственно реальный или возможный",NA,сравнение,экватив,мереология,добавление,сравнение,экватив,мереология,аддитивность,Отождествление согласно Е.В. Падучевой,,же,NA,NA,,,Катя,,
,же,,,ШЩ,однокомпонентный,NA,неначальная,ж,частица,модальная,"выражает напоминание о чём-то известном, но не принятом во внимание адресатом или указывает на очевидное для говорящего, но не принятое во внимание его партнёром речи",NA,,"Не пойдёт он туда. Ты же знаешь этого человека. [ШЩ] NOTFOUND; 
Давай уже своего бармена.  Обещал же.   Вискарь кончился, и пришлось пить ром. [НКРЯ: Сергей Кубрин. Розовый танк // «Волга», 2015]","напоминание о чем-то известном; необходимость получения доп. информации; несогласие с адресатом; сомнение в возм. того, что утверждает адресат; эмоц. реакция по поводу утверждаемого, противореч.ожиданиям говорящего; сильная уверенность; ближайший момент как единственно реальный или возможный",NA,,,,,причина,обоснование,NA,NA,Инферентивное употребление: 'причина суждения в первой клаузе эксплицируется во второй клаузе'.,,же,NA,NA,,,Катя,,
,за исключением того что,,,ЕФР,многокомпонентный,неразрывный,начальная,NA,союз,,поправка к предшествующей части предложения: кроме того что,NA,,"Открыв глаза, он убедился в том, что на холме все без изменений, за исключением того, что пылавшие на груди кентуриона пятна потухли. [НКРЯ: М. А. Булгаков. Мастер и Маргарита, часть 1 (1929-1940)] GOOD",NA,NA,мереология,исключение,NA,NA,мереология,исключение,NA,NA,,,за исключением того что,NA,NA,NA,,Настя,,
212,за счёт того что,,,Морк,многокомпонентный,неразрывная,начальная,NA,союз,,причинный,NA,,"За счет того что он много работал, Мухин добился успеха. [Морк] NOTFOUND",причина,собственно причина,NA,NA,нет,,причина,собственно причина,средство,NA,NA,NA,за счёт того что,NA,NA,,,Диана,,
,за счёт того что,,,АГ-80,многокомпонентный,неразрывный,начальная,NA,союз,,NA,NA,,"Однако во многом успех был достигнут за счет того, что прежняя распределительная система была уничтожена в одночасье... [НКРЯ: 200 рублей через десять лет (2003) // «Газета», 02.07.2003] GOOD",NA,NA,средство,NA,NA,NA,средство,NA,NA,NA,,,за счёт того что,NA,NA,NA,,Настя,,
,за счёт того что,,,ЕФР,многокомпонентный,неразрывный,начальная,NA,союз,,"источник или резерв, с помощью которых совершается действие главного предложения",NA,,"Однако во многом успех был достигнут за счет того, что прежняя распределительная система была уничтожена в одночасье... [НКРЯ: 200 рублей через десять лет (2003) // «Газета», 02.07.2003] GOOD",NA,NA,причина,обоснование,средство,NA,средство,NA,NA,NA,,,за счёт того что,NA,NA,NA,,Настя,,
,за то что,,,БТС,многокомпонентный,неразрывный,начальная,NA,в зн. союза,,"указание причины какого-л. действия в зн.: по причине, вследствие ",NA,,"Он обиделся на меня за то, что я опоздал. [БТС] NOTFOUND",NA,NA,причина,собственно причина,причина,обоснование,причина,собственно причина,NA,NA,,,за то что,NA,NA,NA,,Настя,,
213,затем,,,МАС,однокомпонентный,NA,неконечная,NA,наречие,,"после этого, потом
",NA,,"Сначала перечислялись возможные Яшкины преступления, затем шел перечень наказаний, кои воспоследуют за этими преступлениями. [А.П. Гайдар.""На графских развалинах"", 1929] OLD",NA,NA,таксис,следование,NA,NA,таксис,следование,NA,NA,NA,NA,затем,NA,NA,,,Диана,,
214,затем,,,Уш,однокомпонентный,NA,плавающая,NA,наречие,,поэтому ,уст,,"Я знаю, что граф Кирилл Владимирович очень болен, нужно ухаживать за ним... я затем приехала... я родственница. [Видоизмененный пример, Л.Н. Толстой. ""Война и мир"", 1863-1869; 1873] OLD","после этого, потом",NA,причина,собственно причина,NA,NA,цель,NA,NA,NA,NA,устаревшее употребление,затем,NA,NA,,,Диана,,
215,затем,,,МАС,однокомпонентный,NA,плавающая,NA,наречие,,далее (для обозначения перехода к следующему положению или выводу в речи),NA,,"Нам стоит посетить несколько коротких и узких улиц старой Кристиании, с двух-трехэтажными желтыми домами еще XVII века, затем, я бы осмотрел улицу Стуртингсгате, где находился «Отель Бульвар». [Видоизмененный пример из НКРЯ] OLD",NA,NA,мереология,аддитивность,NA,NA,мереология,аддитивность,NA,NA,NA,NA,затем,NA,NA,,,Диана,,
216,затем,,,МАС,однокомпонентный,NA,плавающая,NA,наречие,,"С этой (той) целью, для этого (того) ",уст,,Одно мое желание - свято исполнить его (графа) волю; я затем приехал сюда. [Видоизмененный пример из МАС] OLD,NA,NA,цель,NA,NA,NA,цель,NA,NA,NA,NA,NA,затем,NA,NA,,,Диана,,
217,затем,,,МАС,однокомпонентный,NA,плавающая,NA,наречие,,по этой причине,уст,,"Я знаю, что граф Кирилл Владимирович очень болен, нужно ухаживать за ним... я затем приехала... я родственница. [Видоизмененный пример, Л.Н. Толстой. ""Война и мир"", 1863-1869; 1873] OLD",NA,NA,причина,собственно причина,NA,NA,цель,NA,NA,NA,NA,устаревшее употребление,затем,NA,NA,,,Диана,,
218,затем,,,Уш,однокомпонентный,NA,плавающая,NA,наречие,,"с этой целью, для того",уст,,Одно мое желание - свято исполнить его (графа) волю; я затем приехал сюда. [Видоизмененный пример из МАС] OLD,"после этого, потом",NA,цель,NA,NA,NA,цель,NA,NA,NA,NA,NA,затем,NA,NA,,,Диана,,
,затем,,,АГ-80,однокомпонентный,NA,начальная,NA,аналог союза,,"далее', 'кроме того'",NA,,"Сначала перечислялись возможные Яшкины преступления, затем шел перечень наказаний, кои воспоследуют за этими преступлениями. [А.П. Гайдар.""На графских развалинах"", 1929] OLD",NA,союз,таксис,следование,NA,NA,таксис,следование,NA,NA,,,затем,NA,NA,NA,,Настя,,
,затем,,,АГ-80,однокомпонентный,NA,начальная,NA,союз,,NA,NA,,"Сначала перечислялись возможные Яшкины преступления, затем шел перечень наказаний, кои воспоследуют за этими преступлениями. [А.П. Гайдар.""На графских развалинах"", 1929] OLD",NA,аналог союза,таксис,следование,NA,NA,таксис,следование,NA,NA,,,затем,NA,NA,NA,,Настя,,
219,затем что,,,МАС,многокомпонентный,неразрывная,начальная,NA,сложный союз,,причинный,NA,,"В-третьих, закрыли школу, затем что в нее ходил один-единственный ученик, аннулировали фельдшерский пункт в связи с тем… а бог его знает с чем и электричество подается не каждый день. [НКРЯ: Вячеслав Пьецух. Критика колеса // «Октябрь», 2013] GOOD",NA,NA,причина,собственно причина,NA,NA,причина,собственно причина,NA,NA,NA,NA,затем что,NA,NA,,,Диана,,
220,затем что,,,Уш,многокомпонентный,неразрывная,начальная,NA,союз,,причинный,NA,,"В-третьих, закрыли школу, затем что в нее ходил один-единственный ученик, аннулировали фельдшерский пункт в связи с тем… а бог его знает с чем и электричество подается не каждый день. [НКРЯ: Вячеслав Пьецух. Критика колеса // «Октябрь», 2013] GOOD",NA,NA,причина,собственно причина,NA,NA,причина,собственно причина,NA,NA,NA,NA,затем что,NA,NA,,,Диана,,
,затем что,,,АГ-80,многокомпонентный,неразрывный,начальная,NA,союз,,NA,NA,,"В-третьих, закрыли школу, затем что в нее ходил один-единственный ученик, аннулировали фельдшерский пункт в связи с тем… а бог его знает с чем и электричество подается не каждый день. [НКРЯ: Вячеслав Пьецух. Критика колеса // «Октябрь», 2013] GOOD",NA,NA,причина,собственно причина,причина,обоснование,причина,собственно причина,NA,NA,,,затем что,NA,NA,NA,,Настя,,
221,затем чтобы,,,Уш,многокомпонентный,неразрывная,начальная,NA,союз,,цели,NA,,"Вечно работая, вечно в грязи живем мы затем, чтобы кошелек хозяев был полон, а наши желудки пусты. [НКРЯ: Л. И. Брежнев. Жизнь по заводскому гудку (1980)] GOOD",NA,NA,цель,NA,NA,NA,цель,NA,NA,NA,Летучий 2014. Рук.: слабо грамматикализованное сочетание; свободно допускает разрыв.С тем чтобы и особенно затем чтобы – книжные синонимы союза чтобы (с тем чтобы имеет налет официальности и часто встречается в газетных текстах) [Апресян Пекелис 2012],NA,затем чтобы,NA,NA,,,Диана,,
,затем чтобы,,,БТС,многокомпонентный,неразрывный,начальная,затем чтоб,союз,,"для того чтобы, с той целью чтобы",NA,,"Вечно работая, вечно в грязи живем мы затем, чтобы кошелек хозяев был полон, а наши желудки пусты. [НКРЯ: Л. И. Брежнев. Жизнь по заводскому гудку (1980)] GOOD",NA,NA,цель,NA,NA,NA,цель,NA,NA,NA,Летучий 2014. Рук.: слабо грамматикализованное сочетание; свободно допускает разрыв,,затем чтобы,NA,NA,NA,,Настя,,
,затем чтобы,,,АГ-80,многокомпонентный,неразрывный,начальная,затем чтоб,союз,,NA,NA,,"Вечно работая, вечно в грязи живем мы затем, чтобы кошелек хозяев был полон, а наши желудки пусты. [НКРЯ: Л. И. Брежнев. Жизнь по заводскому гудку (1980)] GOOD",NA,NA,цель,NA,NA,NA,цель,NA,NA,NA,Летучий 2014. Рук.: слабо грамматикализованное сочетание; свободно допускает разрыв,,затем чтобы,NA,NA,NA,,Настя,,
,затем чтобы,,,ЕФР,многокомпонентный,неразрывный,начальная,затем чтоб,союз,,мотивируется цель действия главной части: для того чтобы,NA,,"Вечно работая, вечно в грязи живем мы затем, чтобы кошелек хозяев был полон, а наши желудки пусты. [НКРЯ: Л. И. Брежнев. Жизнь по заводскому гудку (1980)] GOOD",NA,NA,цель,NA,NA,NA,цель,NA,NA,NA,Летучий 2014. Рук.: слабо грамматикализованное сочетание; свободно допускает разрыв,,затем чтобы,NA,NA,NA,,Настя,,
,затем чтобы,,,Морк,многокомпонентный,неразрывная,начальная,NA,союз,,причинный,NA,,"Вечно работая, вечно в грязи живем мы затем, чтобы кошелек хозяев был полон, а наши желудки пусты. [НКРЯ: Л. И. Брежнев. Жизнь по заводскому гудку (1980)] GOOD",NA,NA,,,,,цель,NA,NA,NA,Летучий 2014. Рук.: слабо грамматикализованное сочетание; свободно допускает разрыв,NA,затем чтобы,NA,NA,,,Диана,,
,затем... чтобы,затем чтобы,,БТС,однокомпонентный,NA,начальная,затем чтоб,союз,,"для того чтобы, с той целью чтобы",NA,,"Еще он писал о маленьком копенгагенском мальчике, которого отец ведет за руку в церковь — послушать рождественскую службу — и ничего не говорит о Боге, а просто затем ведет, чтобы малыш не чувствовал себя отличным от других детей. [НКРЯ: Д. С. Данин. Нильс Бор (1969-1975)] GOOD",NA,NA,цель,NA,NA,NA,цель,NA,NA,NA,,,затем,чтобы,да,коррелят необязателен,,Настя,,
223,зато,,,МАС,однокомпонентный,NA,плавающая,NA,союз,,"при возместительном сопоставлении; соответствует по значению словам: однако, но в то же время",NA,,"Ученый прочитывает сотни книг и проводит эксперименты, зато чиновник получает дайджесты, обзоры, аналитические записки. [НКРЯ: Александр Филиппов. Участь эксперта // «Отечественные записки», 2003] GOOD",NA,NA,адверсатив,противительное,NA,NA,адверсатив,противительность,NA,NA,"Союзы зато и и то (да и то) объединяет указание на нежелательность ситуаций. При этом зато — ""оптимистический"" союз компенсации, часто выражающий идею того, что плохая ситуация компенсируется наличием хорошей, а и то (да и то) — ""пессимистический"", часто выражающий идею того, что недостаточность хорошей ситуации усугубляется дальнейшими ограничениями, делающими ее еще менее удовлетворительной [Апресян Пекелис 2011] Основная семантическая идея союза зато - 'наличие некоторой нежелательной ситуации (первый конъюнкт) полностью уравновешивается наличием некоторой более важной желательной ситуации (второй конъюнкт) [Апресян 2004]",NA,зато,NA,NA,,,Диана,,
224,зато,,,Уш,однокомпонентный,NA,плавающая,NA,союз,,противительный,NA,,"Ученый прочитывает сотни книг и проводит эксперименты, зато чиновник получает дайджесты, обзоры, аналитические записки. [НКРЯ: Александр Филиппов. Участь эксперта // «Отечественные записки», 2003] GOOD",NA,NA,адверсатив,противительное,NA,NA,адверсатив,противительность,NA,NA,NA,NA,зато,NA,NA,,,Диана,,
225,зато,,,МАС,однокомпонентный,NA,плавающая,NA,союз,,"при пояснении или для выражения следствия; соответствует по значению словам: поэтому, вследствие этого",уст,,А родная вот племянница меня слушать не хочет! Зато теперь вот и плачется. [МАС] BAD,NA,NA,следствие,результат,NA,NA,следствие,результат,NA,NA,NA,устаревшее употребление,зато,NA,NA,,,Диана,,
226,зато,,,Морк,однокомпонентный,NA,плавающая,NA,союз,,противительный,NA,,"Ученый прочитывает сотни книг и проводит эксперименты, зато чиновник получает дайджесты, обзоры, аналитические записки. [НКРЯ: Александр Филиппов. Участь эксперта // «Отечественные записки», 2003] GOOD",NA,NA,адверсатив,противительное,NA,NA,адверсатив,противительность,NA,NA,NA,NA,зато,NA,NA,,,Диана,,
,зато,,,БТС,однокомпонентный,NA,плавающая,NA,союз,,"возместительное сопоставление; но в то же время, однако",NA,,"Ученый прочитывает сотни книг и проводит эксперименты, зато чиновник получает дайджесты, обзоры, аналитические записки. [НКРЯ: Александр Филиппов. Участь эксперта // «Отечественные записки», 2003] GOOD",NA,NA,заместительные отношения,NA,NA,NA,адверсатив,противительность,NA,NA,,,зато,NA,NA,NA,,Настя,,
,зато,,,БТС,однокомпонентный,NA,плавающая,NA,союз,,"пояснение или выражение следствия; поэтому, вследствие этого",уст,,А родная вот племянница меня слушать не хочет! Зато теперь вот и плачется. [МАС] BAD,NA,NA,следствие,NA,NA,NA,следствие,результат,NA,NA,"Зато семантически сближается с союзом оговорки только и противопоставляется ему: Платье было узкое, зато / только длинное (зато = узкое отрицательное, а длина положительное свойство, только — наоборот) [Апресян Пекелис 2011]",,зато,NA,NA,NA,,Настя,,
,зато,,,АГ-80,однокомпонентный,NA,плавающая,NA,союз,,противительно-возместительный,NA,,"Ученый прочитывает сотни книг и проводит эксперименты, зато чиновник получает дайджесты, обзоры, аналитические записки. [НКРЯ: Александр Филиппов. Участь эксперта // «Отечественные записки», 2003] GOOD",NA,аналог союза,адверсативность,противительность,адверсативность,уступка,адверсатив,противительность,NA,NA,,,зато,NA,NA,NA,,Настя,,
,зато,,,АГ-80,однокомпонентный,NA,плавающая,NA,аналог союза,,противительно-возместительный,NA,,"Ученый прочитывает сотни книг и проводит эксперименты, зато чиновник получает дайджесты, обзоры, аналитические записки. [НКРЯ: Александр Филиппов. Участь эксперта // «Отечественные записки», 2003] GOOD",NA,союз,адверсативность,противительность,адверсативность,уступка,адверсатив,противительность,NA,NA,,,зато,NA,NA,NA,,Настя,,
,зато,,,ЕФР,однокомпонентный,NA,плавающая,NA,союз,,"отношение возместительного противопоставления: в то же время, однако",NA,,"Ученый прочитывает сотни книг и проводит эксперименты, зато чиновник получает дайджесты, обзоры, аналитические записки. [НКРЯ: Александр Филиппов. Участь эксперта // «Отечественные записки», 2003] GOOD",NA,NA,адверсативность,противительность,NA,NA,адверсатив,противительность,NA,NA,,,зато,NA,NA,NA,,Настя,,
,зато,,,ЕФР,однокомпонентный,NA,плавающая,NA,союз,,"пояснение или указание на следствие: поэтому, вследствие этого",уст,,А родная вот племянница меня слушать не хочет! Зато теперь вот и плачется. [МАС] BAD,NA,NA,следствие,NA,NA,NA,следствие,результат,NA,NA,,,зато,NA,NA,NA,,Настя,,
227,зачем,,,МАС,однокомпонентный,NA,начальная,NA,наречие,,"с какой целью, для чего",кв,,"Ему вдруг стало досадно на самого себя, зачем он так распространился перед этим барином. [МАС] OLD",относительное,NA,цель,NA,NA,NA,цель,NA,NA,NA,NA,NA,зачем,NA,NA,,,Диана,,
