linker,semfield1_ed,id,source,parts.num,parts.order,parts.order.example,linker_position,linker_position_exclusivity,position.example,mainpart,correl,correl.oblig,correl.oblig.example,comp.oblig,comment,public_comments,correl.position,correl.position.example,clause.order,clause.order.example,clause order comments,dep.clause.type,expansion,indep.sentence,indep.sentence.example,inferential.example,illoc example,metatext example,phonvar,pos,pos.type,meaning,style,example,other_senses,other_pos,subfield1_ed,semfield2_ed,subfield2_ed,sem_comment,inside_info,developer
в результате того что,причина,231; 232; 233,БТС; АГ-80; ЕФР,poly,nobreak,,initial,exclusively,,в результате того что,NA,NA,,NA,,,NA,,free,"В результате того, что разные науки считают одни и те же вопросы «своими», они изучают их со свойственными им специальными подходами и в методологии используют разные средства. (НКРЯ) Сообщаю, что в распоряжение «Столицы» эти медали попали в результате того, что наш корреспондент сфотографировал мэра в тот самый момент, когда он держал медали в руках. (НКРЯ)",,финитная,,нет,,,,Примеры не обнаружены,NA,в зн. союза; союз,NA,"вследствие того что; из-за того что; NA; причина, являющаяся практическим результатом действия",NA,"В результате того, что уровень моря заметно повысился, значительная часть континента оказалась под водой. [Мария Галина. Бард (2013)]",NA,NA,собственно причина,NA,NA,NA,NA,
в результате чего,следствие,234,ЕФР,poly,nobreak,,initial,exclusively,,в результате чего,NA,NA,,NA,,,NA,,postposition,,,финитная,,да,"Почти половина выступающих повеселила утомленных речами делегатов конференции тем, что путали двух кандидатов, называя их по имени-отчеству. В результате чего появился альтернативный "" кандидат Леонид Аркадьевич Коссович "". (НКРЯ)",,"Началась война, в результате чего примите меры к аресту подданных всех неприятельских держав. [Видоизмененный пример из НКРЯ]",Примеры не обнаружены,NA,союз,NA,"результат действия, о котором говорится в главной части",NA,"И в нем процессы протекают в обратном порядке, в результате чего возникает система с большим энергетическим потенциалом. [В. Н. Комаров. Тайны пространства и времени (1995-2000)]",NA,NA,результат,NA,NA,NA,NA,
в связи с тем что,причина,235; 236; 237; 238; 239,Морк; БТС; АГ-80; ЕФР; МАС,poly,nobreak,,initial,exclusively,,в связи с тем что,NA,NA,,NA,,,NA,,free,"В связи с тем что подобные неприятные ситуации не исключены и в будущем, отметим несколько моментов. (НКРЯ) И это число неуклонно уменьшается в связи с тем, что носителями языка остаются пожилые люди в глухих деревнях, в то время как молодое поколение знает лишь отдельные фразы и не имеет желания учить язык. (НКРЯ)",,финитная,"""в связи с тем явлением / обстоятельством / событием, что""",нет,,"Первая, наиболее старинная редакция повести возникла, видимо, не раньше конца XV в., в связи с тем, что именно тогда в Смоленске было установлено церковное почитание Меркурия. [Видоизмененный пример из НКРЯ]","Не верьте же ему, не верьте, в связи с тем, что его нет на свете, не существует! [Видоизмененный пример из НКРЯ]",Примеры не обнаружены,NA,союз; в зн. союза; сложный союз,NA,"причины; по той причине, что, на основании того, что; NA; причина (обусловливающая действие главной части): так как, вследствие того что, по той причине что",NA,"Летом, в связи с тем что приезжает много туристов, население нашего города увеличивается вдвое. (Морк)",NA,NA,собственно причина; собственно причина; обоснование,NA,NA,NA,NA,
в связи с тем что,ПУ,,АГ-80,poly,nobreak,,initial,exclusively,,в связи с тем что,NA,NA,,,,,NA,,,,,финитная,"""в связи с тем явлением / обстоятельством / событием, что""",нет,,,,Примеры не обнаружены,NA,союз,NA,NA,NA,"Это высказывание представляется особенно интересным в связи с тем, что гнев и его проявления имеют обычно прямое, непосредственное выражение, что отразилось в ветхозаветном «око за око», в то время как существует и «отложенный гнев» — обида, которая редко выражается сразу и адекватно. [НКРЯ: Людмила Найденова. Свои и чужие в «Домострое» // «Родина», 1997] GOOD",NA,NA,ментальная,NA,NA,Обозначает параметр оценки.,NA,
в связи с тем чтобы,цель,240,БТС,poly,nobreak,,initial,exclusively,,в связи с тем чтобы,NA,NA,,NA,,,NA,,free,"(в НКРЯ единственный пример на конструкцию, с постпозицией)",,финитная,,нет,,,,Примеры не обнаружены,NA,в зн. союза,NA,в целях того чтобы,NA,"Такие рекомендованные сроки установлены в связи с тем, чтобы у специалистов было время на устранение возможных недочетов [моидокументы.рф. 2019]; Провел опрос в связи с тем, чтобы выяснить общественное мнение. [БТС] NOTFOUND",NA,NA,NA,NA,NA,NA,NA,
в связи с чем,следствие,241,ЕФР,poly,nobreak,,initial,exclusively,,в связи с чем,NA,NA,,NA,,,NA,,postposition,,,финитная,,нет,,,,Примеры не обнаружены,NA,союз,NA,"непосредственное следствие, вытекающее из действия главной части: поэтому, вследствие чего, по этой причине",NA,"Для ускорения технического прогресса необходимо существенно убыстрять процессы проектирования новой техники, которая становится все сложнее, в связи с чем на ее создание требуются более длительные сроки. [В. Ф. Безъязычный, А. Ю. Татаринов, М. В. Тимофеев. Проблемы внедрения CAD/CAM систем в промышленности // Автоматизация технологических процессов в машиностроении/ Межвузовский сборник научных трудов, 2002]",NA,NA,результат,NA,NA,NA,NA,
в силу того что,причина,242; 243; 244; 245,Морк; БТС; АГ-80; ЕФР,poly,nobreak,,initial,exclusively,,в силу того что,NA,NA,,NA,,,NA,,free,"Не меньше ""теряется "" в школьном секторе в силу того, что большинство школ так и не стали самостоятельно хозяйствующими субъектами. (НКРЯ) Именно в силу того, что они рассчитаны на специфическую аудиторию, иногда «Военные рассказы» производят впечатление чересчур прямолинейных. (НКРЯ)",,финитная,,нет,,"Первая, наиболее старинная редакция повести возникла, видимо, не раньше конца XV в., в силу того, что именно тогда в Смоленске было установлено церковное почитание Меркурия. [Видоизмененный пример из НКРЯ]",,Примеры не обнаружены,NA,союз; в зн. союза,NA,"причинный; по причине чего-л., из-за чего-л.; NA; причина (обусловливающая действие главной части): так как; в связи с тем что; из-за того что",NA,"Ответ задерживается в силу того, что не хватает сотрудников. (БТС)",NA,NA,собственно причина; собственно причина; обоснование,NA,NA,NA,NA,
в случае если,условие,246; 247,АГ-80; ЕФР,poly,nobreak,,initial,exclusively,,в случае если,NA,NA,,NA,,"""Если"" при ""случай"" возможно только в коннекторном употреблении.",NA,,preposition,,,финитная,,нет,,,"Еда на столе, в случае, если проголодаешься. [Сконструированный пример]",Примеры не обнаружены,NA,союз,NA,NA; реальное условие,NA,"Непосредственные связи возникают в случае, если сезонные мигранты переходят в группу ""постоянных "", и наоборот. [Снижение масштабов внутренней миграции населения в России: опыт оценки динамики по данным текущего учета // «Вопросы статистики», 2004]",NA,NA,NA,NA,NA,NA,NA,
в сравнении с тем как,сравнение,248,АГ-80,poly,nobreak,,initial,exclusively,,в сравнении с тем как,NA,NA,,NA,,,NA,,free,"Однажды мне особенно бросилось в глаза, насколько постарел и поблек Лезвин в сравнении с тем, как впервые я встретил его. (НКРЯ) ...в сравнении с тем, как горланит он, недавний детский гвалт — просто милое чириканье. (НКРЯ)",,финитная,,нет,,,,Примеры не обнаружены,NA,союз,NA,NA,NA,"Все его аварии в Ф-1 блекнут в сравнении с тем, как он въехал в дерево на 500-кубовом снегокате. [Леонид Ситник. Интервью: Мика Сало (2001) // «Формула», 15.05.2001]",NA,NA,компаратив,NA,NA,NA,NA,
в сравнении с тем что,сравнение,249,АГ-80,poly,nobreak,,initial,exclusively,,в сравнении с тем что,NA,NA,,NA,,,NA,,free,"Но в сравнении с тем, что было, это — жизнь. (НКРЯ) Натуральные Гималайские горы меркли в сравнении с тем, что там было нарисовано. (НКРЯ)",,финитная,,нет,,,,Примеры не обнаружены,NA,союз,NA,NA,NA,"Но это всё мелочи в сравнении с тем, что Григорий Никитич Демидов вообще был убит собственным сыном... [Алексей Иванов. Message: Чусовая. Части 4-5 (2007)]",NA,NA,компаратив,NA,NA,NA,NA,
в тех целях чтобы,цель,250,АГ-80,poly,nobreak,,initial,exclusively,,в тех целях чтобы,NA,NA,,NA,,,NA,,free,"Все это необходимо в тех целях, чтобы обнажалась глубокая испорченность и возрастало покаяние. (НКРЯ) (В НКРЯ только 4 примера, все на постпозицию)",,финитная,,нет,,,,Примеры не обнаружены,NA,союз,NA,NA,NA,"Федор умышленно обернул вопрос таким образом исключительно в тех целях, чтобы отучить как-нибудь Чапаева от этой беспардонной, слепой брани в пространство… [Д. А. Фурманов. Чапаев (1923)]",NA,NA,NA,NA,NA,NA,NA,
в то время как,адверсатив,253; 254; 259,Морк; БТС; ЕФР,poly,nobreak,,initial,exclusively,,в то время как,NA,NA,,NA,,,NA,,free,"В августе его объем снизился на 0, 3 процента, в то время как инвесторы ожидали роста на 0, 2 процента. (НКРЯ) В то время как прокуроры поглощены общенадзорными проверками, мало внимания обращается на качество поднадзорного им предварительного расследования... (НКРЯ)",,финитная,,да,"Манига рыбачил в стороне и все время косился на меня, когда я одну за одной вытаскивал рыбины на лед. В то время как его добыча составляла две рыбки. (НКРЯ)",,,Примеры не обнаружены,NA,союз; в зн. союза,NA,"уступительно-противительный; тогда как..., несмотря на то что...; противопоставление действий главной и придаточной части: хотя",NA,"Твой приятель воображает себя гением, в то время как он просто выскочка и посредственность. (Морк)",NA,NA,противительность,NA,NA,NA,NA,
в то время как,конъюнкция,252; 258,Морк; ЕФР,poly,nobreak,,initial,exclusively,,в то время как,NA,NA,,NA,,,NA,,free,"Ей платили двести долларов в месяц, в то время как учителя в школе получали в десять раз меньше. (НКРЯ)  В то время как ваши папа с мамой занимались физикой, мои родители в Болонье открыли небольшое ателье La Perla — стали делать купальники и нижнее белье. (НКРЯ)",,финитная,,да,"Все уверены, что сторонники противоположной стороны зомбированы пропагандой и приведены в самое жалкое состояние, верят чудовищной лжи и не замечают очевидного. В то время как мы сами — люди честные и разумные, и получаем достоверную информацию из надежных источников. (НКРЯ)",,"Татьяна мне пишет, что проспала и просила перенести запись на следующий день на другое время, в то время как зачем записываться,если мастер спокойно перенесёт вас на следующий день? [Видоизмененный пример из НКРЯ]",Примеры не обнаружены,NA,союз,NA,сопоставительный; сопоставление не соответствующих друг другу действий или явлений главной и придаточной частей: тогда как,NA,"Я люблю балет, в то время как Аня предпочитает оперу. (Морк)",NA,NA,сопоставление,NA,NA,NA,NA,
в то время как,таксис,251; 255; 256; 257,Морк; БТС; АГ-80; ЕФР,poly,nobreak,,initial,exclusively,,в то время как,NA,NA,,NA,,,NA,,free,"...в то время как анатолийские, индоиранские, армянский и греческий языки уже отделились от остальных индоевропейских и развивались как самостоятельные, италийского, кельтского, германского, иллирийского, славянского и балтского языков еще не существовало. (НКРЯ) Сейчас, когда прошло столько лет, муж часто удивляется моей способности заснуть в гостиничном номере, в то время как он играет в метре от меня. (НКРЯ)",,финитная,,да,"Ведь всё перемешалось — сегодня швея печёт хлеб, трубочист пишет картины, а художник метёт улицы. В то время, как тысячи людей занимаются тем, что вообще трудно описать двумя словами, и что несёт сомнительную пользу для нашей с вами жизни. (НКРЯ)",,,Примеры не обнаружены,NA,союз; в зн. союза,NA,"временной; одновременно с чем-л.; NA; одновременность действия, зафиксированного в главной и придаточной частях: когда",NA,"В то время как мы разговаривали, один из стоявших на крыльце получил письмо из Берлина. (Сконструированный пример)",NA,NA,одновременность,NA,NA,NA,NA,
в то же время,таксис,260; 261,АГ-80; ЕФР,poly,nobreak,,free,,"Гуляка, говорун, гармонист, бабник, он в то же время был организованным человеком. (НКРЯ)",в то же время,NA,NA,,NA,,,NA,,"interposition, postposition","Все это время он энергично орудовал над ней, в то же время не выпуская меня из поля зрения своих ярких глаз. (НКРЯ)",,финитная,,да,Это означает существенное улучшение учета внутренней миграции. В то же время требования к состоянию текущего учета возросли. (НКРЯ),,"Это, конечно, понятно – безопасность ребенка превыше всего; в то же время, почему бы не поиграть в такую мозаику под присмотром мамы? [Видоизмененный пример из Google]",Примеры не обнаружены,NA,вводное сочетание слов; союз,NA,"NA; одновременность действия, зафиксированного в главной и придаточной частях: когда",NA,"Как видим, в трудовую жизнь приходит многочисленная когорта молодежи; в то же время перестает трудиться относительно малочисленное поколение ""эха войны "", появившееся на свет в ""роковые "" 1940-е годы. [Янис Астафьев. Кто будет работать в России в 2015 году? // «Отечественные записки», 2003]","NA; 1. наряду с этим, вместе с тем",NA; наречие,одновременность,адверсатив,противительность,NA,NA,
в том духе что,ПУ,262; 263,АГ-80; ЕФР,poly,nobreak,,initial,exclusively,,в том духе что,NA,NA,,NA,,,NA,,postposition,,,финитная,,нет,,,,Примеры не обнаружены,NA,союз,NA,"NA; передается содержание речи, мысли",NA,"А затем он высказался в том духе, что пора бы и лететь. [Денис Викторов. Притесняют! (2004) // «Бизнес-журнал», 30.01.2004]",NA,NA,цитирование,NA,NA,NA,NA,
в том ключе что,ПУ,,ИМК,poly,nobreak,,initial,exclusively,,,NA,,,,,,,,,,,финитная,,нет,,,,Примеры не обнаружены,NA,,NA,NA,NA,"Путин высказался в том ключе, что Ленин заложил атомную бомбу в фундамент российской государственности. [tass.ru. 25.01.2016]",NA,NA,цитирование,NA,NA,Передает идею приблизителности цитирования,,
в том отношении что,мереология,267,ЕФР,poly,nobreak,,initial,exclusively,,в том отношении что,NA,NA,,NA,,,NA,,preposition,,,финитная,,да,"Только что в пути проблемы гибридизации пообсуждали. В том отношении, что могут ли у данного происшествия быть последствия. (НКРЯ)",,"Облегчите мое положение в том отношении, что нужно разузнать все обстоятельства дела. [Видоизмененный пример из НКРЯ]","Таинство — это Божественное действие, которое нас приобщает к тому, что является нашей и тварной, и Божественной природой. Тварной — в том отношении, что мы перестали быть той тварью, какой ее задумал и сотворил Бог: невинной, чистой, открытой Богу до конца, без тени.  [НКРЯ]",NA,союз,NA,"раскрывается какая-л. сторона явления или факта, о которых говорится в главной части",NA,"Римская церковь могла торжествовать победу в том отношении, что во Франции она считалась церковью государственной. [НКРЯ: А. К. Виноградов. Осуждение Паганини (1936)]",NA,NA,конкретизация,NA,NA,NA,NA,
в том отношении что,ПУ,264; 266,АГ-80; ЕФР,poly,nobreak,,initial,exclusively,,в том отношении что,NA,NA,,NA,,,NA,,postposition,,,финитная,,да,,,,Примеры не обнаружены,NA,союз,NA,"NA; раскрывается какая-л. сторона явления или факта, о которых говорится в главной части",NA,"Машина быстроходная, очень легко набирающая скорость и удобная в том отношении, что в кабину помещаются, помимо водителя, два пассажира. [Д. И. Саврасов. Таежные были и небылицы (2003-2008)]; Они важны еще в том отношении, что помогают согласованию понятий психиатрии и психологии. [Б. В. Зейгарник. Патопсихология (1986)]",NA,NA,NA,NA,NA,NA,NA,
в том отношении что,причина,265,ЕФР,poly,nobreak,,initial,exclusively,,в том отношении что,NA,NA,,NA,,,NA,,,,,финитная,,да,,,,Примеры не обнаружены,NA,союз,NA,"раскрывается какая-л. сторона явления или факта, о которых говорится в главной части",NA,"Подобные случаи интересны в том отношении, что они позволяют выделить еще один момент в формировании тонального слуха. [А. Н. Леонтьев. Биологическое и социальное в психике человека (1981)]",NA,NA,собственно причина,NA,NA,NA,NA,
в том плане что,мереология,268,АГ-80,poly,nobreak,,initial,exclusively,,в том плане что,NA,NA,,NA,,,NA,,"interposition, postposition","Мне на чемпионате Москвы немного повезло в том плане, что встречался не со всеми фаворитами. (НКРЯ) А я тогда подумала в том плане, что ты-то что лезешь, что у тебя за печаль, — и даже оскорбилась как-то за себя. (НКРЯ)",,финитная,,да,"Удивительно, что предельная «киношность» Германа в данном случае крепко завязана на «литературности». В том плане, что это кино может быть воспринято более адекватно, если зритель знаком с первоисточником и, в идеале, читал сценарий. (НКРЯ)",,"Облегчите мое положение в том плане, что нужно разузнать все обстоятельства дела. [Видоизмененный пример из НКРЯ]; Мужская команда школы баскетбола в этом году, по меньшей мере, странная. В том плане, что почему половину команды составляют из себя игроки, давным-давно простившиеся со статусом «молодежи»? [Google]","Завершая эту тему, скажу: я честный любовник в том плане, что все свои любови я продолжаю опекать. [НКРЯ]",NA,союз,NA,NA,NA,"Мне на чемпионате Москвы немного повезло в том плане, что встречался не со всеми фаворитами. [Олег Перваков. На верном пути (2004) // «64 — Шахматное обозрение», 15.05.2004]",NA,NA,конкретизация,переформулирование,NA,NA,NA,
в том плане что,ПУ,268,АГ-80,poly,nobreak,,initial,exclusively,,в том плане что,NA,NA,,NA,,,NA,,,,,финитная,,нет,,,,Примеры не обнаружены,NA,союз,NA,NA,NA,"Важное в том плане, что, как утверждают врачи, звуки — это последнее, что воспринимает умирающий. [НКРЯ: Руслан Киреев. Чехов. Посещение Бога // «Нева», 2004]; Пришлось отвечать в том плане, что, решившись на подпольный аборт у бабки-повитухи, гражданка Вольтова скончалась прямо на операционном столе. [НКРЯ: И. Ю. Стогов. Буги-вуги-Book. Авторский путеводитель по Петербургу, которого больше нет (2012)]; Лосев говорит о них именно в том плане, что за ними стоят смыслы, которые еще нужно усмотреть, понять или почувствовать, что это учения, которые еще нужно «построить» (воплотить в дискурсивной форме естественных языков). [НКРЯ: Л. А. Гоготишвили. «Эйдетический язык» (реконструкция и интерпретация радикальной феноменологической новации А. Ф. Лосева) (2006)]",NA,NA,цитирование,NA,NA,NA,NA,
в том плане что,причина,268,АГ-80,poly,nobreak,,initial,exclusively,,в том плане что,NA,NA,,NA,,,NA,,,,,финитная,,да,,,,Примеры не обнаружены,NA,союз,NA,NA,NA,"Вы же не можете их содержать!» «Не можете» в том плане, что у нас нет песочницы, что у нас нет санпропускника, что у нас нет медицинского поста. [НКРЯ: Ольга Тимофеева. Незнайка спешит на помощь // «Русский репортер», 2013]",NA,NA,собственно причина,NA,NA,NA,NA,
в том случае если,условие,269,АГ-80,poly,nobreak,,initial,exclusively,,в том случае если,NA,NA,,NA,,,NA,,preposition,,,финитная,,нет,,,"Я завтра не приду — в том случае, если вы меня не услышали. [Сконструированный пример]","Это нарушение порядка в том случае, если «порядком» мы условимся называть только то, что приятней нам самим — например, чтобы нужный номер журнала оказался в подшивке, нужная книга — на полке, затерявшийся предмет — прямо перед носом. [видоизмененный пример из НКРЯ]",NA,союз,NA,NA,NA,"Документ будет значим и актуален только в том случае, если формулировки в нем будут носить не общий, а конкретный характер. [Сергей Смирнов. Повторение пройденного // «Отечественные записки», 2003]",NA,NA,NA,NA,NA,NA,NA,
в том смысле что,мереология,271; 272; 273,БТС; АГ-80; ЕФР,poly,discont,,initial,exclusively,,в том смысле что,NA,NA,,NA,,,NA,,"interposition, postposition","Гастроли Большого театра в Свердловске пошли, я бы сказала, на пользу местному театру в том смысле, что со всей очевидностью встал вопрос о необходимости реконструкции его здания. (НКРЯ) ",,финитная,"Допускает разрыв: В том смысле не работает, что лучше на нее не садиться, поскольку одной ноги у нее нет. [НКРЯ: М. Б. Бару. Замок с музыкой // «Волга», 2013]",да,"С начальником повезло. В том смысле, что начальник был умница. (НКРЯ)",,,"Оба запястья были пусты — в том смысле, что без часов. [НКРЯ]",NA,в зн. союза; союз,NA,"пояснение; NA; раскрывается смысл, содержание главной части",NA,"Но при этом все пишущие о нем признавали: его методы управления были эффективны в том смысле, что он достигал поставленных им самим целей, не стесняясь в средствах. [НКРЯ: Марк Мокульский. У истоков возрождения отечественной генетики // «Наука в России», 2013]; Это распределение согласуется с распределением плотности вещества в том смысле, что чем больше плотность вещества, тем глубже гравитационная яма. [НКРЯ: Борис Шустов. Скрытая масса. Что это такое? // «Наука в России», 2014]; Зато он вас хорошо знает. <...> В том смысле, что он в курсе вашей работы и ваших достижений... [НКРЯ: А. А. Уткин. Дорога в снегопад (2008-2010)]; Это еще одно государство, и в нем порою свободы больше, чем в том, что осталось на воле, за проволокой. В том смысле, что люди не врут, не жмутся. [НКРЯ: Леонид Зорин. Юдифь (2008) // «Знамя», 2009]",NA,NA,конкретизация,переформулирование,NA,NA,NA,
в том смысле что,ПУ,270; 274,Морк,poly,discont,,free,exclusively,,в том смысле что,NA,NA,,NA,NA,,,,,,,финитная,,нет,,,,Примеры не обнаружены,NA,союз,NA,изъяснительный,NA,"Я ответил в том смысле, что о лучшем и мечтать не приходится, но Женю словно муха укусила... [НКРЯ: Анатолий Гладилин. Большой беговой день (1976-1981)]; Между тем, Бжезинский в «Великой шахматной доске» высказался в том смысле, что США должны поощрять Россию в определении ею ее «единственного геостратегического выбора». [НКРЯ: Отстраниться, забыть, отказаться: новые-старые рецепты капитуляции России (26.11.2016) // 2016]",NA,NA,цитирование,NA,NA,Дополнительное значение приблизительной передачи содержания речи.,NA,
в тот момент как,таксис,281,АГ-80,poly,nobreak,,initial,exclusively,,в тот момент как,NA,NA,,NA,,,NA,,free,"Все коллеги ее поздравляют, в тот момент, как на зал накатывает волна смеха. (НКРЯ) В тот момент, как Насруллаев отбросил кувалду, он махнул шапкой (НКРЯ)",,финитная,,да,"Мне это нужно было для того, чтобы ориентироваться в обстановке — и только. В тот момент у меня не было никаких подозрений.",,,Примеры не обнаружены,NA,союз,NA,NA,NA,"Двери стали закрываться, и в тот момент, как они почти захлопнулись, он увидел, как его сосед справа встал и быстро побежал в сторону кабинета начальника. [Аристарх Ромашин. Жизнь не вечна // «Дальний Восток», 2019]",NA,NA,одновременность,NA,NA,NA,NA,
в частности,мереология,282,АГ-80,poly,nobreak,,initial,predominantly,"Российские предприятия, в частности, имеют хороший опыт и современные технологии для участия в строительстве или реконструкции тепло-и гидроэлектростанций. (НКРЯ)",в частности,NA,NA,,NA,,,NA,,"interposition, postposition",,,финитная,,да,"Многозначность панно сопоставима с глубиной и многозначностью древних текстов, подобных библейским, когда слово — как дверь в иное бытие. В частности, к панно "" Лента Мебиуса "" (замкнутая восьмерка как символ познания) авторы подобрали средневековый текст из "" Старшей Эдды "": "" Руны найдешь и постигнешь знаки... Умеешь ли резать? Умеешь разгадывать? Умеешь ли спрашивать? (НКРЯ)",,"Почему заклятия, наложенные волосами, теряют свою силу столь избирательно, в частности, почему мачеха становится старухой, а рука Юджина не начинает кровоточить? [Видоизмененный пример из НКРЯ]; Если пойти по всем именам, то может получиться, что воздадим больше не тому, кому следует, и не так, как располагались они при Ленине: в частности, как расставить роли Сталина и Бухарина? [Видоизмененный пример из НКРЯ]",Примеры не обнаружены,NA,вводное сочетание слов,NA,включение,NA,"Идея не нова, ее многие поддерживают; в частности, об этом ""Известиям"" говорила тренер сборной по художественной гимнастике Ирина Винер. [Андрей Митьков. Олимпийский комитет готовится к отставкам // «Известия», 2002.06.13]",NA,NA,конкретизация,NA,NA,NA,NA,
ввиду того что,причина,283; 284; 285; 286; 287,МАС; Морк; БТС; АГ-80; ЕФР,poly,nobreak,,initial,exclusively,,ввиду того что,NA,NA,,NA,,,NA,,free,"Но ввиду того, что суда были небольшие и довольно ветхие, в штормовую погоду их сильно качало. (НКРЯ) Поправка тем более кстати ввиду того, что увеличивается число государств, устанавливающих с Россией безвизовый режим. (НКРЯ)",,финитная,"ввиду того обстоятельства, что",нет,,"Первая, наиболее старинная редакция повести возникла, видимо, не раньше конца XV в., ввиду того, что именно тогда в Смоленске было установлено церковное почитание Меркурия. [Видоизмененный пример из НКРЯ]",,Примеры не обнаружены,NA,сложный союз; союз,NA,"причинный; по причине того что, вследствие того что; NA; причинное обоснование действия главной части: так как, потому что, в связи с тем что",NA,"Ввиду того что срок подачи документов истек, ваше заявление не может быть рассмотрено. (Морк); Ввиду того, однако, что в прошлом наша страна была крайне отсталой в экономическом отношении, уровень развития промышленности СССР в смысле размеров производства на душу населения и теперь еще значительно ниже наиболее развитых в технико-экономическом отношении капиталистических стран Европы и США. [В. М. Молотов. К восемнадцатому съезду ВКП(б) третий пятилетний план развития народного хозяйства СССР (1938―1942 г. г.) (30.01.1939) // «Советское искусство». № 15 (595), 1939]",NA,NA,собственно причина; обоснование; собственно причина,NA,NA,NA,NA,
вдобавок,мереология,288; 289,МАС; АГ-80,mono,NA,,non-final,predominantly,"Ну откуда же его сын будет знать, как ее называть, если он никогда не видел ее названия в записанном виде (да он еще вдобавок тоже неграмотный)? (НКРЯ) С оттяпанными руками и ногами. А некоторые и слепые вдобавок. (НКРЯ)",вдобавок,NA,NA,,NA,NA,,NA,,postposition,,,финитная,,да,"Удивительное совпадение: в тот же вечер я улетала в Питер на съемки. Вдобавок оба мы остановились в "" Европейской "". (НКРЯ)",,"Что известно автору о реальном Гусеве, его происхождении и родственных связях, и известно ли вообще, сказать трудно, вдобавок, кто такой на самом деле Гусев из книги? [Видоизмененный пример из НКРЯ]",Примеры не обнаружены,NA,наречие; аналог союза,NA,"в добавление, в дополнение к чему-л.; кроме того', 'к тому же'",NA,"Но чем дальше шли в реформах, тем больше пробуксовывали, вдобавок на мировом рынке упали цены на медь, которая давала 4/ 5 внешнего дохода страны. [Олег Поляковский. Неподсуден (2003) // «Вокруг света», 15.09.2003]",NA,NA; наречие,аддитивность,конъюнкция,сопутствование,NA,NA,Катя
ведь,адверсатив,290; 294; 298; 302,МАС; БТС; ЕФР; ШЩ,mono,NA,,non-final,predominantly,"— Я смотрю его последние записи, а потом уже включаю. — Но в итоге вы ведь включаете всех? — Всех, — сознался я.  (НКРЯ) Каждый раз, когда Фрэнк попадает в переплет, в голове, не отпуская, вертится мысль: «Как? Ну как он вывернется на этот раз? ». И выворачивается ведь! (НКРЯ)",ведь,NA,NA,,NA,NA,,NA,,postposition,,,финитная,,да,Вот и нас слушать будут! Прославимся! Федино предложение мне показалось весьма заманчивым и легко осуществимым. И все-таки я сказал: — Но ведь нам нужно собрать состав. (НКРЯ) Послал ему письмо - не отвечает. И ведь обещал писать! (ШЩ),,,Примеры не обнаружены,NA,союз; частица,NA; модальная,"то, тогда, в таком случае; в уступительных предложениях; несмотря на то, что; хотя; уступительность: хотя, несмотря на то что; достоверность или важность данной информации, противоречащей ранее сказанному",NA,"Ведь тебе говорили, а ты не слушаешь. (МАС); Послал ему письмо - не отвечает. И ведь обещал писать! (ШЩ)","усилительная частица; 1. усиление основного содержания всего высказывания (предположения, утверждения, вопроса и т.п.) или выделение, подчёркивание отдельного слова; NA; неожиданная догадка; достоверность события, ранее не представляющегося вероятным, и эмоц. состояние, связ. с ним; желание вынудить адресата принять установку говорящего",частица; NA,уступка,NA,NA,NA,NA,Катя
